instancia;numero_execucoes;melhor_funcao_objetivo;media_funcao_objetivo;pior_funcao_objetivo;desvio_padrao_funcao_objetivo;media_numero_rotas;media_paradas_selecionadas;media_tempo_algoritmo_seg;media_tempo_total_rotas_seg;media_maior_tempo_rota_seg;melhor_seed
Adelaide;1;151,851000;151,851000;151,851000;0,000000;16,000000;24,000000;60,092515;19541,000000;2470,000000;2991312382
Bridgend;1;100299,461000;100299,461000;100299,461000;0,000000;11,000000;22,000000;23,711959;25902,000000;3586,000000;3062119789
Brisbane;1;319,717000;319,717000;319,717000;0,000000;22,000000;28,000000;60,124758;33117,000000;2146,000000;1228959102
Canberra;1;286,990000;286,990000;286,990000;0,000000;14,000000;31,000000;32,015296;24583,000000;3378,000000;1840268610
Cardiff;1;500075,860000;500075,860000;500075,860000;0,000000;5,000000;8,000000;17,139761;8763,000000;2280,000000;974319580
Edinburgh-1;1;1500155,291000;1500155,291000;1500155,291000;0,000000;20,000000;23,000000;60,039909;22042,000000;1740,000000;2967327842
Edinburgh-2;1;600045,768000;600045,768000;600045,768000;0,000000;9,000000;11,000000;60,138332;8125,000000;1360,000000;2367878886
MiltonKeynes;1;105,186000;105,186000;105,186000;0,000000;8,000000;10,000000;18,216276;7832,000000;1350,000000;3088727057
Porthcawl;1;25,483000;25,483000;25,483000;0,000000;2,000000;3,000000;2,875577;2598,000000;1614,000000;3090095699
Suffolk;1;158,202000;158,202000;158,202000;0,000000;6,000000;21,000000;5,656258;12295,000000;3115,000000;2109339754
